instance,best_vehicles,best_distance,avg_time_s,num_runs,alpha,beta,rho,q0
c101C5.txt,1,309.2298026824592,4.450087070465088,3,1,1,0.1,0.5
c101C5.txt,1,309.2298026824592,5.836564779281616,3,1,1,0.1,0.7
c101C5.txt,1,309.2298026824592,4.400139729181926,3,1,1,0.1,0.9
c101C5.txt,1,309.2298026824592,7.253307660420735,3,1,1,0.2,0.5
c101C5.txt,1,309.2298026824592,5.944014151891072,3,1,1,0.2,0.7
c101C5.txt,1,309.2298026824592,4.393041769663493,3,1,1,0.2,0.9
c101C5.txt,1,309.2298026824592,7.336522340774536,3,1,1,0.5,0.5
c101C5.txt,1,309.2298026824592,5.850237607955933,3,1,1,0.5,0.7
c101C5.txt,1,309.2298026824592,4.422680854797363,3,1,1,0.5,0.9
c101C5.txt,1,309.2298026824592,7.263206164042155,3,1,2,0.1,0.5
c101C5.txt,1,309.2298026824592,5.916746298472087,3,1,2,0.1,0.7
c101C5.txt,1,309.2298026824592,4.389936129252116,3,1,2,0.1,0.9
c101C5.txt,1,309.2298026824592,7.126649538675944,3,1,2,0.2,0.5
c101C5.txt,1,309.2298026824592,6.096638758977254,3,1,2,0.2,0.7
c101C5.txt,1,309.2298026824592,4.313382784525554,3,1,2,0.2,0.9
c101C5.txt,1,309.2298026824592,7.029992341995239,3,1,2,0.5,0.5
c101C5.txt,1,309.2298026824592,5.607834577560425,3,1,2,0.5,0.7
c101C5.txt,1,309.2298026824592,4.282127221425374,3,1,2,0.5,0.9
c101C5.txt,1,309.2298026824592,7.143301884333293,3,1,3,0.1,0.5
c101C5.txt,1,309.2298026824592,6.100028435389201,3,1,3,0.1,0.7
c101C5.txt,1,309.2298026824592,4.423223336537679,3,1,3,0.1,0.9
c101C5.txt,1,309.2298026824592,7.2799754937489825,3,1,3,0.2,0.5
c101C5.txt,1,309.2298026824592,6.022912422815959,3,1,3,0.2,0.7
c101C5.txt,1,309.2298026824592,4.529283285140991,3,1,3,0.2,0.9
c101C5.txt,1,309.2298026824592,7.469517151514689,3,1,3,0.5,0.5
c101C5.txt,1,309.2298026824592,6.0716337362925215,3,1,3,0.5,0.7
c101C5.txt,1,309.2298026824592,4.589860677719116,3,1,3,0.5,0.9
c101C5.txt,1,309.2298026824592,7.163333257039388,3,1,4,0.1,0.5
c101C5.txt,1,309.2298026824592,5.726585229237874,3,1,4,0.1,0.7
c101C5.txt,1,309.2298026824592,4.421667257944743,3,1,4,0.1,0.9
c101C5.txt,1,309.2298026824592,7.484996954600017,3,1,4,0.2,0.5
c101C5.txt,1,309.2298026824592,5.994288523991902,3,1,4,0.2,0.7
c101C5.txt,1,309.2298026824592,4.619106372197469,3,1,4,0.2,0.9
c101C5.txt,1,309.2298026824592,7.979966402053833,3,1,4,0.5,0.5
c101C5.txt,1,309.2298026824592,6.090029716491699,3,1,4,0.5,0.7
c101C5.txt,1,309.2298026824592,4.4832823276519775,3,1,4,0.5,0.9
c101C5.txt,1,309.2298026824592,7.453310410181682,3,2,1,0.1,0.5
c101C5.txt,1,309.2298026824592,5.980993191401164,3,2,1,0.1,0.7
c101C5.txt,1,309.2298026824592,4.386999766031901,3,2,1,0.1,0.9
c101C5.txt,1,309.2298026824592,7.5193131764729815,3,2,1,0.2,0.5
c101C5.txt,1,309.2298026824592,5.995861132939656,3,2,1,0.2,0.7
c101C5.txt,1,309.2298026824592,4.443371057510376,3,2,1,0.2,0.9
c101C5.txt,1,309.2298026824592,7.24002210299174,3,2,1,0.5,0.5
c101C5.txt,1,309.2298026824592,5.974664847056071,3,2,1,0.5,0.7
c101C5.txt,1,309.2298026824592,4.46192463239034,3,2,1,0.5,0.9
c101C5.txt,1,309.2298026824592,7.467900037765503,3,2,2,0.1,0.5
c101C5.txt,1,309.2298026824592,5.975348552068074,3,2,2,0.1,0.7
c101C5.txt,1,309.2298026824592,4.433388630549113,3,2,2,0.1,0.9
c101C5.txt,1,309.2298026824592,7.142180681228638,3,2,2,0.2,0.5
c101C5.txt,1,309.2298026824592,5.859240531921387,3,2,2,0.2,0.7
c101C5.txt,1,309.2298026824592,4.478437344233195,3,2,2,0.2,0.9
c101C5.txt,1,309.2298026824592,7.340078433354695,3,2,2,0.5,0.5
c101C5.txt,1,309.2298026824592,6.018280029296875,3,2,2,0.5,0.7
c101C5.txt,1,309.2298026824592,4.384965260823567,3,2,2,0.5,0.9
c101C5.txt,1,309.2298026824592,7.403597990671794,3,2,3,0.1,0.5
c101C5.txt,1,309.2298026824592,5.982396999994914,3,2,3,0.1,0.7
c101C5.txt,1,309.2298026824592,4.416098674138387,3,2,3,0.1,0.9
c101C5.txt,1,309.2298026824592,7.382905085881551,3,2,3,0.2,0.5
c101C5.txt,1,309.2298026824592,6.058124144872029,3,2,3,0.2,0.7
c101C5.txt,1,309.2298026824592,4.401853084564209,3,2,3,0.2,0.9
c101C5.txt,1,309.2298026824592,7.474835395812988,3,2,3,0.5,0.5
c101C5.txt,1,309.2298026824592,5.966653664906819,3,2,3,0.5,0.7
c101C5.txt,1,309.2298026824592,4.2946046988169355,3,2,3,0.5,0.9
c101C5.txt,1,309.2298026824592,7.338761170705159,3,2,4,0.1,0.5
c101C5.txt,1,309.2298026824592,5.993239402770996,3,2,4,0.1,0.7
c101C5.txt,1,309.2298026824592,4.256735722223918,3,2,4,0.1,0.9
c101C5.txt,1,309.2298026824592,7.4299038251241045,3,2,4,0.2,0.5
c101C5.txt,1,309.2298026824592,6.000058015187581,3,2,4,0.2,0.7
c101C5.txt,1,309.2298026824592,4.300806125005086,3,2,4,0.2,0.9
c101C5.txt,1,309.2298026824592,7.0493083000183105,3,2,4,0.5,0.5
c101C5.txt,1,309.2298026824592,5.74899689356486,3,2,4,0.5,0.7
c101C5.txt,1,309.2298026824592,4.277488946914673,3,2,4,0.5,0.9
c101C5.txt,1,309.2298026824592,7.053170045216878,3,3,1,0.1,0.5
c101C5.txt,1,309.2298026824592,5.837774197260539,3,3,1,0.1,0.7
c101C5.txt,1,309.2298026824592,4.322165807088216,3,3,1,0.1,0.9
c101C5.txt,1,309.2298026824592,7.213452021280925,3,3,1,0.2,0.5
c101C5.txt,1,309.2298026824592,5.779891173044841,3,3,1,0.2,0.7
